denominazione_regione,data,mean,median,mode,lower_90,upper_90,lower_50,upper_50
Piemonte,2020-04-24,0.6778216047750432,0.6773364138513307,0.675,0.6833479988262696,0.686868072799078,0.667043338703378,0.6924113611579806
Piemonte,2020-04-25,0.6810537511605258,0.6809454392768359,0.6950000000000001,0.6917547613646002,0.6942973163612385,0.6727765122559279,0.7001349103319239
Piemonte,2020-04-26,0.6846630055854778,0.684651421208825,0.6950000000000001,0.682052650048266,0.6849976379232239,0.6767202192972906,0.7020642461613299
Piemonte,2020-04-27,0.6889145461758824,0.6882054890088678,0.675,0.6793458161128689,0.6827530518460591,0.6792912189948175,0.7070234786079255
Piemonte,2020-04-28,0.6918979993295542,0.6937134686876103,0.6950000000000001,0.6939930496250317,0.6971584674626604,0.6846781854727312,0.71091935982737
Piemonte,2020-04-29,0.6985968209611074,0.6974693564483343,0.6950000000000001,0.6901195511754268,0.6932997729610908,0.6795151938026961,0.707814417529867
Piemonte,2020-04-30,0.7039806506668609,0.7033749039375259,0.7050000000000001,0.7006929823142035,0.7040415730188307,0.6990490204174254,0.7292875198414475
Piemonte,2020-05-01,0.710929599356679,0.7112751581134887,0.725,0.7078941094995902,0.7115464528564142,0.7078941094995902,0.7366506947969321
Piemonte,2020-05-02,0.71779420753444,0.7180569671152167,0.715,0.7246536720783,0.7279159672224713,0.7091161130625574,0.7349864628934502
Piemonte,2020-05-03,0.7243592253315088,0.7237028449608047,0.725,0.722594868752725,0.7263782084833379,0.7048285634431555,0.7307309537176305
Piemonte,2020-05-04,0.7307208381905635,0.7299258352841571,0.725,0.7381605432964776,0.7414013804521422,0.7191741424691414,0.7443925909005559
Piemonte,2020-05-05,0.7355972050809693,0.7352908454689663,0.745,0.7403805847320915,0.7436069095524778,0.7293240216279313,0.7536416318712933
Piemonte,2020-05-06,0.7435783376596669,0.7448394098955189,0.745,0.7463618790951889,0.7498402804241273,0.7355593066019551,0.7588745582029877
Piemonte,2020-05-07,0.7499120517527517,0.7503391731510122,0.755,0.7561422667954097,0.7581825650214479,0.7403594540755927,0.7621492737838933
Piemonte,2020-05-08,0.7561612115974872,0.7575322276636633,0.765,0.7660233805356869,0.7691534376096861,0.7486871780894135,0.7732345912647988
Piemonte,2020-05-09,0.7613559708218727,0.7619208341362929,0.745,0.7459806679193723,0.7493499122079208,0.7467739719573685,0.774107790248355
Piemonte,2020-05-10,0.7674853081098608,0.7681803619918993,0.775,0.7655066724414925,0.7684612706132792,0.7546818314235202,0.7811756315105323
Piemonte,2020-05-11,0.7739563290680607,0.7745199606275106,0.765,0.7760544542365615,0.7799237755610627,0.7621425438936769,0.791527125292
Piemonte,2020-05-12,0.7774654199011447,0.7750417596898082,0.765,0.7683736785221685,0.7720905341016377,0.7585922989106374,0.7841328434261206
Piemonte,2020-05-13,0.7816671941413822,0.7825687542707567,0.785,0.7820648999075002,0.7855637445443311,0.7730928800672157,0.8005627242437018
Piemonte,2020-05-14,0.786800766712711,0.7868007789575298,0.795,0.7914852737524946,0.7952488400274219,0.7744719137900213,0.7997433454994358
Piemonte,2020-05-15,0.7924325150834893,0.792236094271815,0.795,0.7869683199651228,0.7903724720994144,0.7781416039417048,0.8054540021109522
Piemonte,2020-05-16,0.7986162084117856,0.7988388357978824,0.795,0.8019346690126455,0.8059781911226034,0.7888524739915099,0.8228125733564053
Piemonte,2020-05-17,0.803366709870671,0.8027898556903919,0.805,0.7980670808685637,0.8029104416303531,0.7936954618358021,0.8265150665059035
Piemonte,2020-05-18,0.8092689747732537,0.8101705528807988,0.8150000000000001,0.8096531451965812,0.813098092307455,0.7845291696841212,0.8173869486501175
Piemonte,2020-05-19,0.813175097710393,0.8140489590382121,0.8250000000000001,0.8198534308323975,0.8246232786945661,0.7990488300141674,0.832721005167379
Piemonte,2020-05-20,0.8176059136320536,0.8199418323568557,0.8350000000000001,0.8193002891629754,0.8234582505757964,0.8073904927706508,0.8408551148649911
Piemonte,2020-05-21,0.8200704143085796,0.8224878248992301,0.8250000000000001,0.8063349622035996,0.8097792629250641,0.8063349622035996,0.835917983868288
Piemonte,2020-05-22,0.8243262470471395,0.8264932047239799,0.8350000000000001,0.8264004777312035,0.830347822301199,0.8152793801325305,0.8460248644151195
Piemonte,2020-05-23,0.8293214019274738,0.8321448451239244,0.845,0.8450086850191039,0.8483642240681148,0.8267876884707386,0.8567877821892085
Piemonte,2020-05-24,0.8326366806117946,0.8374010627714179,0.845,0.8443213002330618,0.8485571481953349,0.8284874226443999,0.8599452040003108
Piemonte,2020-05-25,0.8355524044488565,0.8361055568221347,0.845,0.8384192504241661,0.8427809407573679,0.8136396061073238,0.8485222365360973
Piemonte,2020-05-26,0.8351856291258493,0.8341594188488028,0.8250000000000001,0.8251749960208645,0.8289343157310293,0.8196110648348995,0.8497995835025676
Piemonte,2020-05-27,0.835470175873814,0.8349848200698844,0.845,0.8286271016469029,0.832886987717357,0.8148218554256522,0.8479466934789421
Piemonte,2020-05-28,0.8349484959118918,0.835299252430808,0.8250000000000001,0.8181514156629011,0.8225848772347147,0.8154397142679941,0.847088834224871
Piemonte,2020-05-29,0.8336495749009215,0.8332195942373186,0.8250000000000001,0.8177377219190496,0.8208824942958183,0.8180497362603701,0.8475443799452149
Piemonte,2020-05-30,0.8325743380832922,0.8313917011749599,0.8250000000000001,0.8274261668349903,0.8315527378657066,0.8184121107799646,0.8465541001063706
Piemonte,2020-05-31,0.8308136119429494,0.8306226619178284,0.8250000000000001,0.8212086118467758,0.8263395019293778,0.8107523610955161,0.8435312354594067
Piemonte,2020-06-01,0.8263886121841476,0.8267741177401506,0.8250000000000001,0.81769205413789,0.8221225425191278,0.8178218882401084,0.8515798558396779
Piemonte,2020-06-02,0.8225068958298843,0.8238799742337558,0.8250000000000001,0.8305675649177471,0.8339399574802339,0.8047946004237736,0.8339399574802339
Piemonte,2020-06-03,0.8189635909156925,0.8179353200705666,0.805,0.7944587322549425,0.7985159075589668,0.7939570696933612,0.8281406386365378
Piemonte,2020-06-04,0.8137120543872459,0.8121017387860621,0.805,0.8025396629179677,0.8070034273718028,0.7870335436445738,0.8221121640670426
Piemonte,2020-06-05,0.8112391557270694,0.8077108770867305,0.805,0.7961667661419244,0.8005669294347133,0.7956704679144444,0.8307731675033222
Piemonte,2020-06-06,0.8080819149482708,0.80865187453837,0.8250000000000001,0.8212391695751017,0.8252397261350598,0.7945718109387094,0.8281180043736495
Piemonte,2020-06-07,0.8039126654441852,0.8042821325326375,0.8150000000000001,0.815559525425605,0.818774894383033,0.7869260275997697,0.818774894383033
Piemonte,2020-06-08,0.80262660500447,0.8003396029413357,0.795,0.7976622345152641,0.8007362042240256,0.7859351328500975,0.8192256342283205
Piemonte,2020-06-09,0.8026085150214435,0.8016410734131193,0.805,0.7940300780520629,0.7984203865111522,0.7783115719676578,0.8130092178030042
Piemonte,2020-06-10,0.8030482038246118,0.8033486075544927,0.795,0.7889265213754593,0.7932580671815972,0.780746024773245,0.8141416265188299
Piemonte,2020-06-11,0.8021878200180595,0.8026918791200794,0.805,0.8023817002085801,0.8079366696132605,0.7889275920588183,0.8219827641967339
Piemonte,2020-06-12,0.8040251960228221,0.8038830663566736,0.805,0.7902374268579033,0.7941632100365712,0.786607059409471,0.8148122195181422
